text_clean,sentiment
link lt help me forward this doc to all anonymous accounts techies amp ppl who can help us jam libya sxsw,neutral
what link edchat musedchat sxsw sxswi classical newtwitter,neutral
on the location based 'fast fun and future' link via sxsw,neutral
google will connect the digital amp physical worlds through mobile link sxsw,neutral
talking about link google's effort to allow users to have open systems bettercloud sxsw,positive
link rt quot google before you tweet quot is the new quot think before you speak quot mark belinsky 911tweets panel at sxsw,neutral
link rt 1st stop on the sxsw chaos amp hunt austin java get in the spy game 4 a chance 2 win an ipad,positive
link rt those at sxsw check out the holler gram ipad app from link,neutral
amp having fun at google pic sxsw link,neutral
quot via link guy kawasaki talks 'enchanted' at sxsw he knows his stuff books internet apple sxsw quot,neutral
futuremf link spec for recipes on the web now in google search link sxsw,neutral
omfg rt heard about apple's pop up store in downtown austin pics are already on gowalla link sxsw ipad2,positive
smile rt i think apple's quot pop up store quot in austin would be a lot more interesting if it actually you know popped up sxsw,neutral
again rt line at the apple store is insane sxsw,negative
agree rt wait fiona apple is in town somebody kidnap her and put her in a recording studio until she records a new album sxsw,neutral
at sxsw wanna buy you a drink 7pm at fado on 4th link join us,neutral
attending ipad design headaches sxsw link,negative
boooo rt flipboard is developing an iphone version not android says sxsw,negative
check out amp in line for their ipad 2 in austin power to them sxswi sxsw link,positive
check rt giving added value to location based services needs to battle check in fatigue google pnid sxsw,neutral
chilcott sxsw stand talking with blogger staff too late to win competition for best tweet mentioning so no t shirt,neutral
do it rt come party w google tonight at sxsw link bands food art ice cream nifty interactive maps,positive
gowalla's promises to launch foursquare check in groupon rewards type service at sxsw finger's crossed link,neutral
ha ha rt sxsw news yahoo com is loosing search traffic to new site google com doubt it will last tho w that weird name,neutral
holla rt at google party best ever get your butt over here sxsw,positive
i love my iphone case from sxsw but i can't get my phone out of it fail,positive
i worship link sxsw,neutral
ipad2 rt droid amp mac here rt my agnerd confession using laptop ipad amp blackberry to follow sxsw,neutral
launching sxsw rt denies social network called circles will debut today despite report link,neutral
new post iphone app makes it easy to connect on all social networks with people you meet link sxsw,positive
nice that iphone app is behaving today crashes yesterday were ridiculous sxsw,positive
nice rt apple opening popup store for ipad launch in downtown austin during sxsw link via,neutral
nice rt hey apple fans get a peek at the space that's slated to be a pop up sxsw apple store tomorrow link,positive
one thing is doing so great is get a great down to earth face to google as a company you can only love her sxsw sxwsi,positive
stay tune showcase h4ckers link sxsw,neutral
thank you for the touchingstories preso sxsw here's their deck link,neutral
thank you for an awesome sxsw party link,neutral
thanks rt if you're trying to contact friends or family in japan has created a person finder link sxsw,neutral
thanks to for her mention of our new speech ipad apps being showcased at the sxsw conf link sxswh sxsh,positive
thanks to for publishing the news of new medical apps at the sxswi conf blog link sxsw sxswh,neutral
thanks to for publishing the news of our new medical apps in the sxswi conf blog link sxsw sxswh mhealth,neutral
what sxsw does not provide iphone chargers i've changed my mind about going next year,negative
wonder if amp will be in the apple flashmob tcrn ch fcs45j sxsw ipad2,neutral
wonder if is putting tips from the api sxsw suxsw,neutral
xmas rt shiny new apps a new book pop up ipad 2 stores sxsw is christmas for nerds,positive
yai rt new ubersocial for iphone now in the app store includes uberguide to sxsw sponsored by cont link,positive
yes rt hey i've got another gem for you gt free sxsw link sxsw,neutral
fast fun amp future of google presenting at sxsw on search local and mobile,positive
gsd amp m amp google's industry party tonight see u there link sxsw austin welivehere gsdm,neutral
new buzz quot google to launch major new social network called circles possibly today link rt sxsw quot,neutral
headline quot ipad 2 is the must have gadget at sxsw quot hmm i could have seen that one coming link gadget,positive
quot apple has opened a pop up store in austin so the nerds in town for sxsw can get their new ipads link wow,neutral
know that quot dataviz quot translates to quot satanic quot on an iphone i'm just sayin' sxsw,negative
quot google launched checkins a month ago quot check ins are ok but check outs are the future sxsw bizzy,positive
quot google launched checkins a month ago quot check ins are ok but check outs are the future sxsw bizzy via,neutral
quot google before you tweet quot is the new quot think before you speak quot mark belinsky 911tweets panel at sxsw,positive
attending quot left brain search google right brain search x quot bettersearch talking about the future of search engines at sxsw,neutral
hp opens quot mobile park quot amp content incubator at sxsw link apple constructs quot pop up quot store link,neutral
kawasaki quot not c s lewis level reasoning but apple's continued existence is evidence for the existence of god quot bawling sxsw,positive
kawasaki quot pagemaker saved apple quot oh those were the days sxsw jwtatl enchantment,neutral
kawasaki quot pagemaker saved apple quot oh those were the days sxsw jwtatl enchantment via,positive
spark for android is up for a teamandroid award at sxsw read about it here link,positive
unboxing apple sxsw apple store sxsw link,neutral
sxsw and apple ipad 2's are great but thoughts are w japan and apac regions dealing w earthquake amp tsunami trauma sxswi,positive
at sxsw apple schools the marketing experts sxsw cnet blogs link,neutral
at sxsw apple schools the marketing experts link,positive
at sxsw apple schools the marketing experts link,neutral
temporary apple store is def not a tent it's a powerhouse gym sxsw link,positive
temporary apple store on 6th and congress for sxsw along with 10 000 very happy hipsters,positive
apple wins sxsw link opening a temporary store in downtown austin to support ipad2 launch that is good,positive
ipad and austin are trending today have fun at sxsw all you nerdy nerds,positive
headed to austin for sxsw check out my map for newbies link enjoy,neutral
funny how austin is trending but not sxsw only a matter of minutes at this point at least according to twitter for iphone,neutral
christian ipad iphone devs i want to talk to u at sxsw or after maybe we can wk together on cool app me,positive
sxsw ux ipad uxdes remember to ultimately be aware of the audience your app is targeted towards an unexpected experience can be good,neutral
the apple ipad2 has taken sxsw and austin by storm link excited to a be a part mobile,positive
i can haz ipad2 ifrom sxsw gr8 link,positive
stacks of ipad2's waiting to be bought at sxsw i got mine no hassle at all apple handled this perfectly link,positive
google's mobile future and the elusive 'power of here' link via eurorscg sxsw sxswi,neutral
for those notatsxsw or at sxsw here's link free to download and meet nearby peps,neutral
does your smallbiz need reviews to play on google places we got an app for that link seo sxsw,positive
does your smallbiz need reviews to play on google places we got an app for that link seo sxsw,neutral
samsung sony follow apple hp lead link austin atx sxsw,neutral
samsung sony follow apple hp lead link austin atx sxsw via rg,neutral
take that sxsw rt major south korean director gets 130 000 to make a movie entirely with his iphone link,positive
beautiful sxsw apple store sxsw pic link,positive
q1 was at sxsw sxswi for prep amazing pre push locally focus on location based google owns 10 of the regions billboards pr20chat,neutral
any other sxsw accounts i need to follow or apps to download for iphone,neutral
headed to sxsw and want to share gather contact info link can turn your iphone into a business card broadcaster,neutral
headed to sxsw and want to share gather contact info link can turn your iphone into a link,neutral
btw the sxsw apple store is sold out of all 3g models vzw amp at amp t,neutral
must have sxsw app rt lovely review from forbes for our sxsw ipad app holler gram link,positive
temporary sxsw apple store apple being sneaky as usual link,positive
anyone at sxsw been by the pop up apple store in austin that's gotta be a hopping place today,neutral
sxsw beta testing interactive book for ipad app by moonbot studios out of louisiana cool app,positive
apple won sxsw from day one seeing a ton of ipad2,positive
fastball sxsw giving away two new ipad2 wifi 32g black apple cover tweet fo more info sxswi attsxsw tonight bo lt house,neutral
anyone at sxsw had a chance to check out the pop up apple store wondering if it is worth the trek from the convention center,neutral
sxsw ipad store sold out of everything except 64gig wifi only white did you manage to get yours,positive
sxsw ipad store sold out of everything except 64gig wifi only white also known as the white jeans configuration,positive
offered a sxsw ipad promo to ninjafinder users and fans who are not here at sxsw sucks to not be here sxsw,positive
sxsw is an austin conference do a google search they have interactive music film,neutral
anyone at sxsw know if apple will be or is selling ipad 2 there,neutral
anyone at sxsw know if the apple store has had a new shipment of ipads yet,neutral
marc ecko sxsw launches iphone app to autodial political change link edreform edtech eduvc fightthepaddle,neutral
poursite sxsw learning about the life changing impact of the ipad on real people's actual lives bravo,positive
sxsw lonelyplanet austin guide for iphone is free for a limited time link lp travel,positive
more free sxsw mp3 downloads this time from itunes link,neutral
anyone at sxsw or heading to aclu event seen owt to do with google circles then,neutral
sxsw prompt for memory go to google map and describe a childhood walk,neutral
the apple sxsw store still has ipad 2's and short lines,positive
essential sxsw tools link,neutral
just left sxsw tradeshow demo of at the google theatre ok i get it i see why all the presenters here are using it,positive
following sxsw tweets on google realtime four platforms on tweet deck and listening to panel realizing i'm spoken to no one here today,neutral
anyone at sxsw want an ipad 2 i'm in line and will pick one up for someone willing to pay me 50 for me to grab 1 for you,neutral
anyone at sxsw want to make a quick hundred dollars new ipad2 from ad hoc apple store here gets hundred plus cost,positive
solving a sxsw induced iphone in toilet crisis at apple store with not my crisis for once,neutral
monday at sxsw barry diller new york times congress lunch w hotel party google party six dirty martinis how mondays should be,positive
attending sxsw austin guide by is now free to download on itunes link lp,neutral
seriously sxsw did you do any testing on the mobile apps constant ipad crashes causing lost schedules and no sync for wp7,negative
ready for sxsw here are some iphone apps 2 make ur blogging easier link sxsw sxswi,positive
ipad2 and sxsw a conflagration of doofusness link,negative
attention sxsw'ers link rumored pop up temporary apple store for all your sxsw ipad 2 launch needs,positive
i went to sxswi and all i won was this lousy ipad sxsw link,positive
hey sxsw sxswi folks if you want to learn about security come over to bsidesaustin link,neutral
attending sxswi work in iphone ipad game development looking to hire an austin based ios developer i'm your man let's talk sxsw,neutral
this is a winning picture android google sxsw link,positive
gsd amp m google 7 10 rt what's the best party to hit tonight sxsw,neutral
gsd amp m google industry party sxsw great to meet you link,neutral
you spent 1 000 to come to sxsw you've already used ipad 1 the wait is a couple city blocks why ipad2 sxsw link,negative
sxsw day 1 marissa mayer google will connect the digital amp physical worlds through mobile link,neutral
behind on 100s of emails give them all 1 line iphone composed replies sxsw protip,positive
it's like 10pm at night and there is a line around the block at the popup apple stores selling ipad2s sxsw,positive
1154 free songs from sxsw this year alone link,neutral
more than 150 million mobile users for google maps for mobile sxsw,neutral
currently 150 people in line at the quot pop up apple store quot sxsw,neutral
only ipad 2 available at sxsw is the 64gb wifi only model at 699 plus the optional not leather smart cover at 69,neutral
we love 2 entertain you please don t be grateful link edchat musedchat sxsw sxswi classical newtwitter,neutral
less than 2 hours until we announce the details on the ipad 2 giveaway sxsw sxswi,neutral
i'm up to 2 ipad 2s seen in the wild both people say it is fast but the still pics are terrible sxsw,negative
the ipad 2 queue at sxsw of course,neutral
the ipad 2 takes over sxsw video by link,positive
many ipad 2's snapping away at the keynote slides sxsw,positive
apple has 200m users' credit cards sync'd with itunes for one click purchase winning sxsw,neutral
having my 2nd cocktail quot texas snowflake quot google it at the cnngrill sxsw,neutral
new post 3 iphone apps we'll be using at south by southwest interactive link sxsw sxswi,positive
new post 3 iphone apps we'll be using at south by southwest interactive sxsw sxswi link,neutral
sweet new 3 d google maps demo going on in ballroom d sxsw,positive
more than 35 million miles per day are driving with google maps navigation sxsw,positive
rt ' it's 4 p m and the ipad2 line at the apple store is longer and wider about 250 people only one more hour ' sxsw,neutral
u smart 4 packing an extra rt on my way to sunny austin for sxsw extra iphone in stow just in case,neutral
wonder if 4sqwill attempt to block gowalla cross checkins the way facebook blocked google's contacts connections sxsw lbswars,neutral
sxsw day 5 at the apple store and there's still a line and growing link,positive
check out 5 steps to bulletproof ux strategy at sxsw link sxsw rhjr ux5 link,neutral
wandering 6th street with the girls stopped for ceviche mojitos apple juice amp ice cream sxsw,neutral
if you're a band at sxsw and want to share a track with your audience from stage use frostwire for android if there's wi fi available,positive
we've got a busy week ahead our new book on google apps will be available on amazon amp we're attending sxsw,neutral
i believe a few went to aussies at sxsw rt ipad 2 sold out 70 went to new buyers report link,neutral
a google spreadsheet of over 270 parties at sxsw this year o o link plan on going to sxsw party on,neutral
there was a guy in line for apple's pop up store on sixth street in austin quot i'm that guy quot he told me sxsw,neutral
if u have a iphone you don't need a car' use zimride etc to share rides sxsw shareable,positive
i've seen a lot of tablets here every single one of them is an ipad sxsw,neutral
receiving a lot of messages telling me i'm sexy in response to my post looking to meet fellow christian iphone devs at sxsw,neutral
picked up a mophie battery case 4 my iphone in prep for sxsw not lugging around a laptop amp only using my phone was a huge win last year,positive
now thats a news p rt google to launch major new social network called circles possibly today link sxsw,neutral
just took a piss at the trade show ipad in one hand iphone in the other pissing i am kiiiiiilling it right now sxsw,neutral
not to be a rumor monger but this was a good read google circles preview sxsw link by via socbiz fb,positive
hobo with a shotgun iphone game link sxsw,neutral
hobo with a shotgun video game coming to ipad iphone users yes please link sxsw,positive
build out a store in less than 24 hours and have one of the biggest launches in this company's history we got this apple sxsw ipad2,positive
just took a survey on iphone while in starbucks line got a free starbucks gift card instant research instant gratification sxsw gsdm,neutral
apple has a temporary retail store in austin for the ipad 2 release today opens at 5pm sxsw sxswi ipad2,neutral
just read about groupme at sxsw sounds like an incredible app is it available for android phones yet,positive
wondering about circles gt google to reveal a new social network at sxsw link,neutral
google is about search but local' marissa mayer sxsw,neutral
wondering about street closures during sxsw we made a google map to show you link sxsw austin,neutral
is google about to have another go at social with quot google circles quot sxsw google,neutral
questions about what's inside the ipad 2 fire them my way sxsw,neutral
paraormal activity sanctuary iphone game sketching your ar experience interactivity through quot magic lense quot eduar sxsw,neutral
apple iie ad in the '85 si swimsuit issue at a garage sale sxsw link,neutral
flipboard adds instagram photos and social search apps link apple socialsearch sxsw,neutral
spent the aftrnoon on a frozen lake photographing my brother scott amp the team catch them at sxsw ths weeknd link,neutral
if iphone alarms botch the timechange how many sxsw'ers freak late to flights missed panels behind on bloody marys,negative
shouts to all the ladies holding up their ipad 2's at free sxsw shows to take photos while sipping free beer cc,positive
dj hoodie allen with all due respect you should probably make your way back to google sxsw,neutral
i meant i also wish i at sxsw dyac stupid iphone,negative
just what america needs rt google to launch major new social network called circles possibly today link sxsw,neutral
audioboo american dream or bust link ipad sxsw bum begger us socialart documentally,neutral
skifta is an app based media shifting service that turns your android phone into a sxsw mashable sxswi link,neutral
rumors of an apple store opening for sxsw at 6th amp congress all signs point to yes link,positive
what does an apple security guy after he locks up the store sxsw link,neutral
what does an apple security guy after he locks up the store sxsw the realtime sxsw s link curated by,neutral
how i got an ipad 2 during sxsw link cc,neutral
picked up an ipad 2 at the sxsw pop up apple store only 15 minute wait,positive
brilliant and enlightening game mechanics presentation by from google sxsw,positive
gsd amp m and google sitting in a tree link sxsw gsdm,neutral
and here's a pic of you winning your ipad unsix sxsw cc link cont link,neutral
my iphone and i are both very thirsty sxsw chevy volt lounge w 16 others link,neutral
my iphone and i are both very thirsty sxsw chevy volt lounge w 16 others link link,neutral
i came in and left sxsw with my iphone playing the same song chosen at random skream's listening to the records on my wall appropriate,neutral
marketing and sales genius link apple sxsw,positive
arduino android flaming skulls link refrigerator speaks salon k 3 30pm sxsw smartthings,neutral
reminder android and chrome tts talk 1 pm today link sxsw,neutral
ipad 2 vs android vs the world panel at sxsw today 3 30pm by link,neutral
backupify announces cloudsight search the first searchable archive solution for social media and google apps sxsw sxswi link,neutral
google is announcing a social network quot circles quot via sxsw tweets interesting myopia will cause buzz jokes but this is interesting,neutral
do i need any more for sxsw ipad iphone laptop dictaphone vid camera wow love to meet the real 'cerebellum' charged people,positive
did u see anything on google's circles at the sxsw,neutral
the sxsw app for my iphone is ridiculous it's my personal planner for the next 5 days,positive
our sxsw app is now on android d huge props to amp get it now link,neutral
found the app kyping my iphone's geolocation amp not releasing when in background need a patch batterykiller sxsw,negative
the sxsw app on the iphone is live rsvp for events from your phone amp check out sundayswagger eventbrite com 3 20 scoremore,positive
my iphone app screen for sxsw what am i missing link,neutral
love this app so awesome rt must see android app at sxsw quot bizzy quot link,positive
the sxsw apple quot pop up quot store was nuts was still packed at 11 30 link,neutral
say what apple sxsw popup store in austin link,neutral
breaking apple announces partnership w porn industry for new ipad2 video chat app called quot o facetime quot sxsw,neutral
of course apple built a temp store in austin it's texas they understand the concept of corralling cattle sxsw pickmeupanipad2,negative
love that apple didn't let something like not having a retail store near sxsw keep them away by opening a pop up store link,positive
surprise apple has opened a pop up store in austin so that the nerds in town for sxsw can get their new link cnet,positive
surprise apple has opened a pop up store in austin so that the nerds in town for sxsw can get their new ipads link cnet,positive
surprise apple has opened a pop up store in austin so that the nerds in town for sxsw can get their new ipads link,neutral
surprise apple has opened a pop up store in austin so that the nerds in town for sxsw can get their new ipads link,positive
technews apple heads to sxsw sets up temporary store in austin link tech news apple ipad 2 rance wilemon sxsw tech,neutral
apple is a great example of a retail store layed out for the future no 'registers' no 'checkout line' sxsw,positive
apple is opening up a temporary store in downtown austin for sxsw and the ipad 2 launch link gswsxsw,positive
apple is opening up a temporary store in downtown austin for sxsw and the ipad 2 launch quot oh yay more traffic,negative
technews apple opening pop up store in austin for sxsw link tech news american statesman apple apple apple sxsw tech,neutral
technews apple opening pop up store in austin for sxsw geekfest apple link tech news apple brian lam ipad 2 sxsw tech,neutral
the sxsw apple popup store is open at noon has a fresh shipment of ipad 2's and i'm pretty sure i'm going to get one fingers crossed,positive
technews apple saves sxsw set to open pop up store link tech news apple sxsw tech,positive
at sxsw apple schools the marketing experts link,neutral
at sxsw apple schools the marketing experts link,positive
at sxsw apple schools the marketing experts link via,positive
at sxsw apple schools the marketing experts link via lt lt true love or loathe them no one does marketing like them,positive
at sxsw apple schools the marketing experts cnet link,positive
at sxsw apple schools the marketing experts cnet blogs link austin atx retail,positive
apple store downtown austin open til midnight sxsw there's still time,positive
apple store downtown austin open til midnight sxsw any ipad2 left in stock,neutral
apple store on congress link sxsw austin,neutral
quot the apple store at the mall on sunday is 10x as crowded as this this line is fake i just need a fucking dongle quot genius let me in sxsw,negative
2wks only apple store in 6th austin street is now opened sxsw,neutral
a special apple store opening at 6th and congress for sxsw amp ipad 2 launch apple ipad2 sxsw fb,neutral
makeshift apple store at 6th and congress you're kidding me amazing sxsw apple,positive
temporary apple store at sxsw huge line link,neutral
temporary apple store at sxsw is really cool as is the ipad 2 apple sxsw fanboy,positive
temporary apple store being set up for sxsw shit now the temptation is going to be out of control,positive
temporary apple store for sxsw line goes around the block link,neutral
temporary apple store opens 6th amp congress tomorrow ipad2 sxsw,neutral
temporary apple store opens at 5pm at 6th and congress line already growing ipad view io link via sxsw,positive
temporary apple store will be a block from my office can't wait to see the line tomorrow photos to come sxsw ipad2,positive
the sxsw apple store opens at noon each day and closes when they run out of ipad2s why didn't i buy stock 10 years ago,neutral
base camp apple sxsw link,neutral
ipad news apps 'so last year' at sxsw link,negative
10 iphone apps you ll probably need and use during sxsw link,positive
now there are 150 million mobile google maps users sxsw,positive
the lines are already forming at apple's pop up store in austin aren't these people here to see the festival link sxsw,neutral
and a few are android too rt 10 new mobile apps i ll be using at sxsw link,positive
sxsw you are attending sxsw report what you see with your android phone get bannka app,neutral
ipad apps are just like software development in that once you release it you have to start working on the update sxsw,positive
my tweets are stalled data sluggish come on at amp t verizon is embarrassing iphone customers who haven't switched sxsw iphone,neutral
those who are tweeting that google is coming out with circles platform today are outside of the circle keep up itsnot sxsw,neutral
are you stupid find it out at the sxsw on your mac link for a special price games mac,neutral
slate see as much traffic to mobile safari as to their app on the ipad sxsw electricnews,neutral
unloading at apple store corner of 6th and congress in austin temp store for sxsw link,neutral
great day at sxsw but jaloux of amp his new ipad look at him on school bus on 1st day of school link,neutral
i arrived at sxsw and my issue hasn't been resolved dying to use the iphone app but cant login rt we're on it,neutral
i will be at sxsw for screenburn launch of my clients new iphone game travellerarlaunch find out more at link,neutral
if anyone at sxsw wants to see a demo of piccraft or an ipad 2 find me,neutral
if i were at sxsw i could spend it all at the teaching theater alone just look at that schedule link,neutral
if you're at sxsw meet us at fado we will give you wristbands that magically lead to beer come say hi link,neutral
if you're at sxsw and want an ipad 2 apple's setting up a temporary store check it out link,neutral
overheard at sxsw quot the ipad is a relaxing computer quot agreed ipad apple,positive
overheard at sxsw interactive quot arg i hate the iphone i want my blackberry back quot shocked,negative
if you're at sxsw meet our author and a host of android devs sat at 12 30pm hilton room 615ab,neutral
at sxsw quot apple comes up with cool technology no one's ever heard of because they don't go to conferences quot,negative
for those at sxsw apple sets up 5 000 square foot temporary store at sxsw to sell new ipads test potential traffic link,neutral
overheard at sxsw quot google doesn't launch products at other people's events quot,neutral
nerd bait at sxsw apple set to open popup shop in core of sxsw action link,neutral
long line at sxsw what else apple store link,neutral
last year at sxswi everbody was talking about the ipad this year it's social media driven revolutions this year is better sxsw,positive
long line at apple pop up store for ipad 2 great marketing apple sxsw,positive
at google 4 people do the work of 7 people rather than 7 people doing the work of 4 agileagency sxsw,positive
knackered at home playing with ipad and updating iphone but timeline smashed with partytweets can't make me go to bed sxsw,positive
overheard at mdw and i'll second it quot halfway through my iphone battery already and i haven't even boarded the plane to sxsw quot amateurhour,negative
technews at sxsw apple schools the marketing experts link tech news apple jobs co sxsw tech,positive
first day at sxsw fun final presentation on google doodles googledoodle sxsw,positive
huge line at the apple store in austin sxsw crowd tripping over each other to get the new ipad,positive
if ur not at the google aclu 80's party u should be sxsw,positive
the queue at the apple pop up store sxsw link,neutral
the queue at the apple store in austin is four blocks long crazy stuff sxsw,neutral
posted up at the dmi house intimate stranger on the stage they got a restaurant crowd sitting down to deal wif sxsw link,neutral
the woman at the google talk sounded just like chelsea handler lol sxsw,neutral
i laughed at the ipad until i spent this week hauling my macbook everywhere now i really want an ipad and a shoulder rub sxsw,positive
any sxsw attendees need a qr code reader for their iphone tweet us an image of you with your badge and the first 5 get optiscan free,positive
hey sxsw attendees you should hop in line at the apple store now only four days til your new ipad2 comes in,positive
is anyone attending to the google amp aclu party sxsw if so could you plz up some pictures thanks sxsw,neutral
march 11 austin tx will people line up at the sxsw registration or at the apple store,neutral
landed in austin spotted the google places ads for sxsw at the airport quot the ultimate austin pocket guide quot more like yelp than itouru,neutral
they took away the lego pit but replaced it with a recharging station sxsw and i might check prices for an iphone crap samsung android,negative
awesome to meet and standing in the apple queue at sxsw yesterday on to day 2 lt lt so cute,neutral
bad apple shows up late qs the process poo poos ideas leaves early can even be quot i'm too creative quot or busy gamestorming sxsw,negative
bahrain govt turned off google earth as a result more people learned about it and govt had to turn it back on sxsw,neutral
trying to balance the power of power needs on iphone vs ipad at sxsw this 3g ipad sucks it out quick might have go airplane mode,negative
racing to ballroom d to see marissa mayer sxsw sxswi,neutral
my iphone battery at 100 winning at sxsw,positive
my iphone battery can't keep up with my tweets thanks apple sxsw precommerce,negative
will this be another google wave rt we interrupt your regularly scheduled sxsw geek programming w big google news link,neutral
this will be fun to watch ipadmadness rt apple opening pop up store in austin for sxsw link sxsw,positive
this will be out of control apple set to open popup shop in core of sxsw action link via cc,positive
yeah i'll be there for sure gt rt check this link sxsw google,neutral
celebrate beauty of the web the msft ie9 launch amp play our new html5 game to win an ipad2 link sxsw,positive
texas has been amazing i've met so many influential people that work at twitter foursquare microsoft and even apple sxsw winning,neutral
i woke up before my iphone finished recharging that means i got enough sleep last night right sxsw,neutral
the quiet before the storm at sxsw looking forward to seeing google's marissa mayer,neutral
companies believing in nfc google with the nexus s nokia but also carriers verifone and even apple it seems sxsw sxswnfc,neutral
best thing i've heard this weekend at sxsw quot i gave my ipad 2 money to japan relief i don't need an ipad 2 quot,negative
hope it's better than wave rt buzz is google's previewing a social networking platform at sxsw link,neutral
ipad 2 is better they have had time to improve sxsw,positive
cus it's between pacman google singularity or sxsw noobs meetup,neutral
link go beyond earth hour this year by sharing positive actions with the world download the earthhour 60 iphone app sxsw,positive
so far my biggest sxsw mistake is not bringing my iphone ipad charger,neutral
google vs bing on bettersearch bing has a shot at success w structured search potentially higher margin cpa model vs google sxsw,negative
of course bing results are good they are google's seo sxsw qagb,positive
black or white ipad sxsw ipad2 that is the question,neutral
hootsuite blog social media dashboard hootsuite mobile for sxsw updates for iphone blackberry amp android link,neutral
hootsuite blog social media dashboard hootsuite mobile for sxsw updates for iphone blackberry amp android link,neutral
hoot new blog post hootsuite mobile for sxsw updates for iphone blackberry amp android link,neutral
is anyone bringing their ipad vs their computer to sxsw,neutral
impulsive buy all your friends at sxsw gt i now have one too selling my 1st gen 32gb 3g ipad now,positive
buying 2 new ipad's with geekdate apple sxsw ipad2,positive
someone's buying herself a present rt apple is opening a pop up store in austin for sxsw link,positive
nice find by rsq's link sxsw ipad app,positive
the south by southwest panels illustrated pics sometimes the best link news ogilvy sxsw trending cyber iphone,neutral
my google calendar's saturday night is a giant overlap of sxsw parties,neutral
quot you can google canadian tuxedo and lose yourself for hours quot sxsw,positive
if anyone can make it cooler they can rt to launch quot groupon living social type quot rewards sxsw link,neutral
exciting can t wait rt apple is opening up a temporary store in downtown austin for sxsw amp the ipad 2 launch link,positive
great for certain meetings rt hello holler gram our new ipad app link hollergram sxsw,positive
